created_at,full_text,sntiment,location,id
2020-03-14 14:56:01+00:00,"هل تشوف ان معه حق...!!!!
شخصيا كلامه في الصميم والله المستعان
خذوها بصدر رحب ومن باب النصح
#ايقاف_الدوري
#باقي_المولات
#انثبروا_ببيوتكم
#تعليق_النشاط_الرياضي https://t.co/AXYL3Vuu42",S,السعودية,1238841319428173800
2020-03-29 19:44:44+00:00,"@DianaHaddad قاعدين بالبيت ،، بس اليوم طلعت الصبح هزني الحنين لـ @Signature_jf رحت اخذ منهم عصير #ديانا_حداد 
#خلك_في_البيت #خليك_في_البيت #ملتزمون_يا_وطن #كورونا #اعزل_نفسك",P,"الرياض, المملكة العربية السعودية",1244349794769948700
2020-03-28 22:30:59+00:00,#اعزل_نفسك #Covid_19 https://t.co/dMwstJjBCy,S,"Jeddah, Kingdom of Saudi Arabi",1244029245678116900
2020-04-02 02:51:46+00:00,#منع_التجول https://t.co/yMznyQLHfP,S,KSA,1245544423632576500
2020-03-25 10:10:12+00:00,: يتم تقديم وقت بدء #منع_التجول إلى الساعة الثالثة عصراً في المدن التالية : ( الرياض ، ومكة المكرمة ، والمدينة المنورة ) ، وللجهة المعنية بناءً على ما تقترحه وزارة الصحة زيادة ساعات منع التجول..,W,,1242755658375729200
2020-03-29 12:07:47+00:00,"#اعزل_نفسك

باذن الله بعد ماربنا يزيل عنا هذا الوباء وترجع الامور في بلاد الحرمين افضل من قبل كلي ثقة برب العالمين اول شي راح اسويه عمره لبيت الله الحرام وزيارة الرسول والسلام عليه عليه الصلاة والسلام باذن الواحد الاحد",P,المدينة المنورة,1244234799675515000
2020-03-14 20:48:54+00:00,"#الكويت_تحارب_الكرونا
#انثبروا_ببيوتكم 
#كوفيد_19 
#عشان_الكويت_خلوكم_في_البيت 
#الحجر_المنزلي 

هالحين وقت الشوفه الشرعيه ههههههههههههههههههههههههههههههههههههههههههههههه😂😂😂😂 ههههههههههههههههههههههههههههههههههههههههههههههه😂😂😂😂",S,الـــصــمـــان __ الـرفـاع,1238930124147437600
2020-04-01 12:45:24+00:00,"بسبب مجموعة من الأنانيين الجهلاء الحالات تزداد يوميًا. 
و #منع_التجول راح يستمر وراح يتعرض ناس أكثر للخطر. 

متى نفكر بطريقة صحيحة و واعية. https://t.co/fSgHVNJuRn",N,Saudi Arabia - United kingdom,1245331427081814000
2020-03-14 17:26:30+00:00,#كلنا_في_البيت_لاجل_السعوديه,T,الرياض,1238879188993671200
2020-03-29 07:20:50+00:00,#اعزل_نفسك ابكي ولا ابكي ؟ https://t.co/v8X71JMZoa,N,,1244162585731227600
2020-04-03 23:03:38+00:00,"مَن هم الأشخاص المتاح لهم أداء الصلاة في #الحرم_المكي بعد تمديد #منع_التجول 24 ساعة؟ https://t.co/a14x6hIh8R 

#فيروس_كورونا https://t.co/3Ha8tVLvII",T,Kingdom of Saudi Arabia,1246211788280156200
2020-04-04 20:58:55+00:00,"كلنا أمن :

بلغونا عن التجمعات عبر التطبيق ، ورجال الأمن سوف يقومون باتخاذ الإجراءات اللازمة.

⁧#السعودية⁩ ⁧#منع_التجول⁩",W,,1246542790764437500
2020-03-29 00:57:02+00:00,#اعزل_نفسك https://t.co/nI0zk9wOk2,S,,1244065998006816800
2020-04-04 14:47:32+00:00,"جوازات #حفرالباطن تشارك القطاعات الأمنية بتطبيق #منع_التجول 

عبر: @fawaz749 https://t.co/ld6cvSAasR",W,"حفر الباطن, المملكة العربية السعودية",1246449330166300700
2020-03-29 19:44:44+00:00,"@DianaHaddad قاعدين بالبيت ،، بس اليوم طلعت الصبح هزني الحنين لـ @Signature_jf رحت اخذ منهم عصير #ديانا_حداد 
#خلك_في_البيت #خليك_في_البيت #ملتزمون_يا_وطن #كورونا #اعزل_نفسك",P,"الرياض, المملكة العربية السعودية",1244349794769948700
2020-03-14 17:40:34+00:00,"#كلنا_في_البيت_لاجل_السعوديه 
For our sake, of our family, our community and our nation 💚💚. https://t.co/VyDs7hE6eR",S,F-16.,1238882730294890500
2020-03-15 01:21:33+00:00,"#كلنا_في_البيت_لاجل_السعوديه #هام_جدا 
#الأحوال_المدنية_كرونا #انثبروا_ببيوتكم #فعاليات_الحجر_المنزلي #كورونا #COVIDー19 #العمل_عن_بعد #ملتزمون_ياوطن #كورونا_الجديد 
#السعودية #السعودية_العظمى #السعوديه_كلها_بخير https://t.co/jSoAvTEzGG",P,الكرة الارضية,1238998739353731000
2020-03-28 11:39:43+00:00,"يقولون اذا لم تحصل لك الفرصه بأن تسافر .. فقط اجلس مع نفسك في غرفة مظلمة وتذكر جميع المواقف اللي حصلت معك وقت سفرك في الماضي 

وقتا ممتعا 😂#خليك_ببيتك_وانشد_لوطنك #حظر_التجول #كورونا_الجديد #السعودية #منع_التجول",P,"Saudi Arabia, AlRiyadh",1243865347758973000
2020-03-14 19:46:24+00:00,#كوفيد_19 #كورونا #كورونا_الجديد #كورونا_الكويت #كورونا_في_الكويت #حظر_التجول #انثبروا_ببيوتكم #خلك_بالبيت https://t.co/9XKfYmsGIV https://t.co/tGEkOqrjje,C,Kuwait,1238914397524942800
2020-03-15 08:41:55+00:00,"تسريبات حصرية من شهر ٤ يا جماعة 🖐️☺️

الله يجيرنا
#فعاليات_الحجر_المنزلي
#القطاع_الخاص
#انثبروا_ببيوتكم #اغلاق_الصالونات
#كورونا
#كورونا_مصر
#اجلاء_طلبه_الاردن
#الأردن https://t.co/BBE4iDNHl8",C,Hashemite Kingdom of Jordan,1239109560595632000
2020-03-28 22:52:21+00:00,احس من زمان م جبتوا طاري هند القحطاني🙂 #اعزل_نفسك,S,,1244034622037557200
2020-03-14 17:03:34+00:00,"المكوث بالمنزل واتباع تعليمات وزارة الصحة 
واجب وطني وديني💚 

#كلنا_في_البيت_لاجل_السعوديه",P,,1238873419086811100
2020-03-14 20:50:00+00:00,"مستشفى الجهراء تشكل فريق من عمال النظافة يعمل على مدار الساعة لتعقيم كافة الاسطح في الأجنحة وممرات المستشفى و الكراسي المتحركة وجميع الأمكنة التي يتواجد بها المراجعين للوقاية من #كورونا 
#عشان_الكويت_خلوكم_في_البيت
#لسلامتك_انثبر_بالبيت
 #انثبروا_ببيوتكم
#المدار_نيوز https://t.co/YMrLCHJ51I",S,+965 9997 5060,1238930400027775000
2020-04-01 17:10:12+00:00,"وعادت شنغهاي للحياة بعد سيطرتهم على جائحة #كورونا_الجديد العقبى لنا يارب 

#خليك_في_البيت 
#نبيها_صفر https://t.co/DgU3ReKcKD",P,المملكة العربية السعودية,1245398068272541700
2020-03-14 19:10:13+00:00,"#اجلس_بالبيت وشارك في رفع مستوى الوعي داخل أسرتك لضمان  #حماية_الأطفال_في_حالات_الطوارئ
حيث أن مشاركة الأطفال بالحوار له دور كبير في تخطي أي ظروف صعبة والتخفيف من حدة آثارها، وهذا الجانب جزء لا يتجزء من إدارة الحالات الطارئة.
 الطفولة #حق_ومشاركة",C,سـلـطــنـة عُــمــان,1238905289618972700
2020-04-10 17:34:09+00:00,لواء التدخل السريع الخاص الأول بـ #وزارة_الحرس_الوطني يقيم نقاط تفتيش أمنية في حي منفوحة بـ #الرياض تطبيقاً لقرار #منع_التجول ورصداً للمخالفين. https://t.co/LMqUJ14Snj,W,,1248665584260329500
2020-04-04 08:00:00+00:00,"#الأمن_العام:
استقبال طلبات الاعتراض على مخالفات #منع_التجول عبر منصة  #أبشر
#كلنا_مسؤول https://t.co/VHmVbeFGFT",W,Kingdom of Saudi Arabia,1246346770684063700
2020-04-06 14:17:18+00:00,"اللهم اجعل هذه الايام تمر ولا تضر 
اللهم ابعد عنا شر الأمراض والاوبئة
اللهم أصرف عنا هذا الوباء وقنا شر الداء بلطفك اللهم اني استودعتك نفسي وأهلي وأحبتي والمسلمين أجمعين .
#خواطر_دينيه #اعزل_نفسك #نبي_حظر #السعوديه #كورونا",T,"الرياض, المملكة العربية السعود",1247166494737227800
2020-04-11 14:37:15+00:00,"أقول : أريد آمَلاً
وقد نسيت قول ربي
[إن مع العسر يسرآ]

لا إله إلا أنت سبحآنك إني كنت من الظالمين

آللـہُمَ️ إني ظلمت نفسي ظلما كثيرا فاغفر لي فإنه لٱ يغفر الذنوب إلا انت انك انت الغفور الرحيم #الحجر_المنزلي_واجب_وطني",T,,1248983455591026700
2020-03-15 20:49:02+00:00,"بولغاري شرايكم فيها 😍                     أكواد خصم 
أناس AC1293
نون CC471
فوغا كلوسيت C6NG2                      #بتمرن_بالبيت #قاعد_بالبيت #فعاليات_الحجر_المنزلي #اسبوعين_بالبيت #السعودية #اغلاق_المولات_في_السعودية #انثبروا_ببيوتكم https://t.co/4m2xZBdMaZ",S,المملكة العربية السعودية,1239292546309857300
2020-03-28 23:38:03+00:00,"#اعزل_نفسك
#من_تصٍدق_منكم_اليوم17
أسال الله  العظيم أن يفرج هم كل من ساهم أو نشر ويرزقكم الفردوس الأعلى من الجنه رتويت ربى يفرج همي لعلها تصل لفاعل خير يفرج همي ويقضي ديني ..
فزعتكم يااهل الخير 
التنفيذ رقم الفاتورة : 2017120095
والمتبقي : 3800 https://t.co/ePABbYtaPA",T,,1244046124249485300
2020-03-14 18:32:45+00:00,#كلنا_في_البيت_لاجل_السعوديه اللهم اجعل هذا البلد آمنا مطمئنًا,P,,1238895861213651000
2020-04-01 12:57:49+00:00,"الامن العام :
- تشكيل هيئة للفصل في مخالفات منع التجول بكل منطقة لدراسة الاعتراضات.
- مدة الاعتراض على مخالفة #منع_التجول شهر واحد.",W,في البيت,1245334552547033000
